Distance_(pixels),Gray_Value
0,5.012
1,5.038
2,5.082
3,5.025
4,5.034
5,5.012
6,5.117
7,5.166
8,5.176
9,5.153
10,5.256
11,5.361
12,5.495
13,5.478
14,5.461
15,5.526
16,5.648
17,5.727
18,5.808
19,5.931
20,5.961
21,5.966
22,6.035
23,6.102
24,6.186
25,6.259
26,6.265
27,6.183
28,6.063
29,6.006
30,6.027
31,6.115
32,6.221
33,6.438
34,6.647
35,6.616
36,6.428
37,6.294
38,6.170
39,6.227
40,6.296
41,6.355
42,6.409
43,6.474
44,6.466
45,6.356
46,6.283
47,6.325
48,6.351
49,6.334
50,6.466
51,6.554
52,6.612
53,6.584
54,6.476
55,6.350
56,6.350
57,6.604
58,6.772
59,6.862
60,6.886
61,6.887
62,6.988
63,7.045
64,7.113
65,7.127
66,7.152
67,7.209
68,7.315
69,7.382
70,7.384
71,7.363
72,7.464
73,7.534
74,7.494
75,7.411
76,7.505
77,7.767
78,8.074
79,8.376
80,8.651
81,8.809
82,8.920
83,8.994
84,9.124
85,9.270
86,9.392
87,9.501
88,9.412
89,9.365
90,9.366
91,9.307
92,9.259
93,9.226
94,9.251
95,9.282
96,9.266
97,9.319
98,9.345
99,9.299
100,9.399
101,9.570
102,9.664
103,9.690
104,9.668
105,9.605
106,9.559
107,9.539
108,9.583
109,9.605
110,9.699
111,9.756
112,9.991
113,10.149
114,10.179
115,10.308
116,10.539
117,10.928
118,11.534
119,12.200
120,12.652
121,12.872
122,12.903
123,12.872
124,12.848
125,12.874
126,12.699
127,12.507
128,12.297
129,12.197
130,12.269
131,12.393
132,12.566
133,12.421
134,12.253
135,12.055
136,11.892
137,11.733
138,11.703
139,11.890
140,12.024
141,12.139
142,12.264
143,12.366
144,12.334
145,12.301
146,12.361
147,12.454
148,12.555
149,12.458
150,12.249
151,12.186
152,12.241
153,12.312
154,12.316
155,12.227
156,12.152
157,12.229
158,12.321
159,12.493
160,12.581
161,12.604
162,12.597
163,12.711
164,12.858
165,12.898
166,12.888
167,12.926
168,12.897
169,12.764
170,12.693
171,12.756
172,12.924
173,13.040
174,13.324
175,13.580
176,13.995
177,14.012
178,13.959
179,13.992
180,14.204
181,14.461
182,14.838
183,15.041
184,15.073
185,15.295
186,15.560
187,15.723
188,15.895
189,15.973
190,16.043
191,16.224
192,16.345
193,16.372
194,16.142
195,15.911
196,15.959
197,16.112
198,16.129
199,16.294
200,16.478
201,16.293
202,15.942
203,15.643
204,15.452
205,15.291
206,15.022
207,14.890
208,15.001
209,15.220
210,15.502
211,16.204
212,16.882
213,17.213
214,17.530
215,17.517
216,17.409
217,17.431
218,17.661
219,17.961
220,18.347
221,18.914
222,19.475
223,19.955
224,20.629
225,21.387
226,22.384
227,23.272
228,24.265
229,25.231
230,26.460
231,27.824
232,28.826
233,29.255
234,29.554
235,29.634
236,29.733
237,30.109
238,30.523
239,30.909
240,31.136
241,31.139
242,31.082
243,31.176
244,31.704
245,32.590
246,33.616
247,35.629
248,38.262
249,40.690
250,42.834
251,45.346
252,48.240
253,51.607
254,55.469
255,59.261
256,62.638
257,65.303
258,67.143
259,68.840
260,70.424
261,72.072
262,73.843
263,75.131
264,76.180
265,76.879
266,77.692
267,78.816
268,80.403
269,82.431
270,84.948
271,87.452
272,89.950
273,92.231
274,94.890
275,97.726
276,100.453
277,102.903
278,104.727
279,106.352
280,107.823
281,109.839
282,111.578
283,112.498
284,112.529
285,111.681
286,109.766
287,107.467
288,105.754
289,104.680
290,104.099
291,103.585
292,103.877
293,104.059
294,104.407
295,104.452
296,104.101
297,102.978
298,101.462
299,100.123
300,99.506
301,99.916
302,100.756
303,101.880
304,103.381
305,104.859
306,105.822
307,106.354
308,106.567
309,106.455
310,106.379
311,106.846
312,108.002
313,109.795
314,112.528
315,115.450
316,118.215
317,120.541
318,122.098
319,122.824
320,123.279
321,124.199
322,124.524
323,123.853
324,123.112
325,122.388
326,122.358
327,122.442
328,121.825
329,121.365
330,121.441
331,121.857
332,122.060
333,121.847
334,120.954
335,119.666
336,118.867
337,118.807
338,119.814
339,120.824
340,121.904
341,122.900
342,123.238
343,122.831
344,122.617
345,122.726
346,123.798
347,125.701
348,127.183
349,128.129
350,128.688
351,129.434
352,130.743
353,131.814
354,131.943
355,131.073
356,130.012
357,128.946
358,128.576
359,128.896
360,130.095
361,132.116
362,134.072
363,134.845
364,135.172
365,135.007
366,134.762
367,134.100
368,133.899
369,134.228
370,134.495
371,134.270
372,134.315
373,134.811
374,135.525
375,136.273
376,136.804
377,137.938
378,140.465
379,144.273
380,148.786
381,151.589
382,151.994
383,151.472
384,151.048
385,150.612
386,150.225
387,149.988
388,149.440
389,149.939
390,150.918
391,151.949
392,153.191
393,152.848
394,151.368
395,150.360
396,150.610
397,152.067
398,153.564
399,155.104
400,156.240
401,157.332
402,158.374
403,160.169
404,161.722
405,163.032
406,164.380
407,165.042
408,165.429
409,166.425
410,167.339
411,168.548
412,170.576
413,172.748
414,173.749
415,173.428
416,172.428
417,172.825
418,173.357
419,173.320
420,173.363
421,173.761
422,174.613
423,175.416
424,175.843
425,177.014
426,178.703
427,179.103
428,179.369
429,180.549
430,180.775
431,180.473
432,181.286
433,182.674
434,184.851
435,187.118
436,189.041
437,190.796
438,191.976
439,192.353
440,192.813
441,194.044
442,195.270
443,195.896
444,195.776
445,195.789
446,195.551
447,196.030
448,197.420
449,199.147
450,200.367
451,202.535
452,204.545
453,205.715
454,206.812
455,207.563
456,207.238
457,206.428
458,206.187
459,206.741
460,207.589
461,208.728
462,210.653
463,211.436
464,210.982
465,209.955
466,209.463
467,210.617
468,212.831
469,214.784
470,216.240
471,217.564
472,219.454
473,221.826
474,222.251
475,220.941
476,219.782
477,219.209
478,218.505
479,217.128
480,216.863
481,217.802
482,217.954
483,218.759
484,220.141
485,220.852
486,220.775
487,220.747
488,220.202
489,219.746
490,219.765
491,218.978
492,218.134
493,219.627
494,220.922
495,222.513
496,223.636
497,222.288
498,218.652
499,216.966
500,218.895
501,223.470
502,226.175
503,225.494
504,227.603
505,228.387
506,228.860
507,229.653
508,232.202
509,237.330
510,238.480
511,235.129
512,233.450
513,236.193
514,237.384
515,234.767
516,230.961
517,231.790
518,231.980
519,231.898
520,230.782
521,227.082
522,223.634
523,220.004
524,217.754
525,218.282
526,220.152
527,221.002
528,222.185
529,222.452
530,222.409
531,224.180
532,225.786
533,227.207
534,231.145
535,238.298
536,243.028
537,242.357
538,238.934
539,235.232
540,233.155
541,234.184
542,237.375
543,239.989
544,240.035
545,239.367
546,240.008
547,240.080
548,238.618
549,236.074
550,232.881
551,229.458
552,226.877
553,225.815
554,226.873
555,228.861
556,226.605
557,223.035
558,222.560
559,223.117
560,223.400
561,222.528
562,222.142
563,225.325
564,228.997
565,230.926
566,233.876
567,234.516
568,237.094
569,236.550
570,232.787
571,232.252
572,232.046
573,231.148
574,231.741
575,232.427
576,232.446
577,233.054
578,232.638
579,232.820
580,234.219
581,235.064
582,236.337
583,239.367
584,241.070
585,240.368
586,236.970
587,233.806
588,231.161
589,228.528
590,228.965
591,230.696
592,232.079
593,232.590
594,233.334
595,234.716
596,235.651
597,233.793
598,231.937
599,230.955
600,231.817
601,232.625
602,232.815
603,230.973
604,227.316
605,225.076
606,225.751
607,226.554
608,229.558
609,234.049
610,235.376
611,234.802
612,233.558
613,230.428
614,229.070
615,230.044
616,228.838
617,225.495
618,224.284
619,228.923
620,236.460
621,240.548
622,239.606
623,238.382
624,234.704
625,231.255
626,226.335
627,224.085
628,225.353
629,227.724
630,226.449
631,223.099
632,222.373
633,227.321
634,232.295
635,234.169
636,235.094
637,234.679
638,230.371
639,224.920
640,221.795
641,220.085
642,220.305
643,222.737
644,224.233
645,225.381
646,227.071
647,226.759
648,225.644
649,224.503
650,221.666
651,219.979
652,221.233
653,222.753
654,222.588
655,221.638
656,220.522
657,219.911
658,220.180
659,221.968
660,223.993
661,224.380
662,223.374
663,221.683
664,220.290
665,218.720
666,216.180
667,213.411
668,211.764
669,211.108
670,210.527
671,208.264
672,204.746
673,201.607
674,199.310
675,197.529
676,195.925
677,194.160
678,192.408
679,190.724
680,189.588
681,188.350
682,186.851
683,185.348
684,184.229
685,183.372
686,182.291
687,181.662
688,181.294
689,181.040
690,180.315
691,178.910
692,176.612
693,174.319
694,172.495
695,170.504
696,167.679
697,164.275
698,161.674
699,160.075
700,158.464
701,155.006
702,151.794
703,150.876
704,150.216
705,148.257
706,145.286
707,141.298
708,138.074
709,137.094
710,136.950
711,137.379
712,137.974
713,137.916
714,137.473
715,136.705
716,135.687
717,134.894
718,134.133
719,132.979
720,131.392
721,129.517
722,127.416
723,125.373
724,124.073
725,122.903
726,121.704
727,120.355
728,118.695
729,116.845
730,114.715
731,112.273
732,109.461
733,106.330
734,103.663
735,101.817
736,100.081
737,98.120
738,96.022
739,94.047
740,92.369
741,90.746
742,89.085
743,87.711
744,86.516
745,84.691
746,82.227
747,79.189
748,76.501
749,74.719
750,73.612
751,73.271
752,72.735
753,72.072
754,71.288
755,70.173
756,69.385
757,68.888
758,68.849
759,69.224
760,69.986
761,70.342
762,70.562
763,70.692
764,70.806
765,71.301
766,71.819
767,72.194
768,72.628
769,72.663
770,72.675
771,72.780
772,72.954
773,72.953
774,72.486
775,72.187
776,72.264
777,72.911
778,72.955
779,72.945
780,72.668
781,72.127
782,71.630
783,71.366
784,70.863
785,70.566
786,70.134
787,69.735
788,69.728
789,69.975
790,70.788
791,71.964
792,73.083
793,74.571
794,76.403
795,77.641
796,78.654
797,79.420
798,79.955
799,80.957
800,81.722
801,82.909
802,84.828
803,87.250
804,89.644
805,92.103
806,94.235
807,95.895
808,96.913
809,96.286
810,94.380
811,92.384
812,91.032
813,90.932
814,91.367
815,92.585
816,93.694
817,94.605
818,95.360
819,96.120
820,96.528
821,96.570
822,96.107
823,95.321
824,94.632
825,94.575
826,95.429
827,96.705
828,97.674
829,97.699
830,96.712
831,95.794
832,95.445
833,95.560
834,96.425
835,97.391
836,98.566
837,99.344
838,100.120
839,100.875
840,101.262
841,101.081
842,100.104
843,98.875
844,98.362
845,98.984
846,100.116
847,101.588
848,103.528
849,105.715
850,107.071
851,106.988
852,106.346
853,106.360
854,106.965
855,107.474
856,108.386
857,109.189
858,110.048
859,111.188
860,111.983
861,112.447
862,112.574
863,111.753
864,111.064
865,110.692
866,110.405
867,109.833
868,108.576
869,107.788
870,107.605
871,107.815
872,108.360
873,108.989
874,109.620
875,110.443
876,111.501
877,112.904
878,114.256
879,115.409
880,116.345
881,116.113
882,114.902
883,113.323
884,111.897
885,111.052
886,110.554
887,110.214
888,109.962
889,109.836
890,109.716
891,109.475
892,108.895
893,107.057
894,104.056
895,99.931
896,96.100
897,92.278
898,88.484
899,85.565
900,83.505
901,81.792
902,79.803
903,77.521
904,74.640
905,71.878
906,69.069
907,65.276
908,60.260
909,54.949
910,50.473
911,47.538
912,45.745
913,44.303
914,42.759
915,41.026
916,39.358
917,37.966
918,36.589
919,35.164
920,34.477
921,34.011
922,34.009
923,34.145
924,33.764
925,32.850
926,31.685
927,30.278
928,28.952
929,27.803
930,26.860
931,25.741
932,24.869
933,24.304
934,24.195
935,24.334
936,24.182
937,24.002
938,23.889
939,23.699
940,23.338
941,23.155
942,23.143
943,23.158
944,23.272
945,23.245
946,22.757
947,21.923
948,21.165
949,20.573
950,20.260
951,19.823
952,19.577
953,19.539
954,19.167
955,18.265
956,16.967
957,15.893
958,14.925
959,14.250
960,13.661
961,13.060
962,12.772
963,12.744
964,12.685
965,12.634
966,12.734
967,12.955
968,12.946
969,12.947
970,12.799
971,12.653
972,12.585
973,12.696
974,12.852
975,13.081
976,13.476
977,13.750
978,14.004
979,14.155
980,14.196
981,14.035
982,14.142
983,14.410
984,14.628
985,15.107
986,15.352
987,15.463
988,15.432
989,15.336
990,15.037
991,14.718
992,14.217
993,13.779
994,13.639
995,13.511
996,13.381
997,13.147
998,12.876
999,12.662
1000,12.524
1001,12.387
1002,12.103
1003,11.881
1004,11.952
1005,11.991
1006,12.097
1007,12.135
1008,12.051
1009,12.089
1010,12.111
1011,12.058
1012,12.021
1013,11.967
1014,12.025
1015,12.092
1016,11.977
1017,11.822
1018,11.694
1019,11.694
1020,11.748
1021,11.732
1022,11.680
1023,11.594
1024,11.587
1025,11.633
1026,11.688
1027,11.621
1028,11.470
1029,11.402
1030,11.379
1031,11.331
1032,11.300
1033,11.206
1034,11.277
1035,11.290
1036,11.213
1037,11.136
1038,11.073
1039,11.094
1040,11.097
1041,11.062
1042,11.041
1043,10.990
1044,10.871
1045,10.719
1046,10.661
1047,10.634
1048,10.542
1049,10.447
1050,10.471
1051,10.433
1052,10.427
1053,10.370
1054,10.136
1055,9.824
1056,9.576
1057,9.524
1058,9.579
1059,9.713
1060,9.798
1061,9.809
1062,9.771
1063,9.716
1064,9.628
1065,9.562
1066,9.473
1067,9.446
1068,9.496
1069,9.555
1070,9.596
1071,9.624
1072,9.511
1073,9.401
1074,9.345
1075,9.445
1076,9.599
1077,9.690
1078,9.736
1079,9.785
1080,9.774
1081,9.680
1082,9.656
1083,9.549
1084,9.445
1085,9.447
1086,9.609
1087,9.695
1088,9.605
1089,9.622
1090,9.671
1091,9.628
1092,9.596
1093,9.596
1094,9.552
1095,9.576
1096,9.638
1097,9.767
1098,9.853
1099,9.769
1100,9.718
1101,9.662
1102,9.650
1103,9.620
1104,9.659
1105,9.706
1106,9.714
1107,9.701
1108,9.743
1109,9.756
1110,9.767
1111,9.791
1112,9.696
1113,9.613
1114,9.515
1115,9.474
1116,9.499
1117,9.476
1118,9.384
1119,9.317
1120,9.355
1121,9.388
1122,9.432
1123,9.375
1124,9.329
1125,9.446
1126,9.505
1127,9.440
1128,9.275
1129,9.162
1130,9.129
1131,9.180
1132,9.179
1133,9.113
1134,9.118
1135,9.218
1136,9.438
1137,9.692
1138,9.811
1139,9.723
1140,9.608
1141,9.724
1142,9.872
1143,9.912
1144,9.920
1145,9.834
1146,9.849
1147,9.794
1148,9.749
1149,9.674
1150,9.660
